"embNo","yeatsSD","yeatsClust","yeatsMeanPwr"
222,0.0459000738142297,1,0.00124006653790066
370,0.0461063691931296,1,0.0012414724441067
124,0.0495603913496692,1,0.00124876739050104
376,0.0437146192252105,1,0.00124913729154024
102,0.0487607842624969,1,0.00126220402575266
54,0.0470016688528847,1,0.0012650792220634
5,0.0513315450603906,1,0.0012653086722701
218,0.0463844089600321,1,0.00126902955564889
73,0.0381533120017119,1,0.00127681643785413
74,0.046670992133419,1,0.00127901417011398
185,0.035751452384625,1,0.00128280070818888
372,0.0486694249452322,1,0.00128802874332739
316,0.0515892299855679,1,0.001291283363042
127,0.0543096395726888,1,0.00129862759879597
70,0.0516381214238444,1,0.00129871988226926
382,0.05102999354115,1,0.00130269878342904
371,0.0493290094660555,1,0.00130446451523161
367,0.0462458116829688,1,0.00131971627767465
337,0.0483734855446728,1,0.00131974710087895
97,0.0363030945124703,1,0.00132103321900645
326,0.0460818747243861,1,0.00133364576045723
49,0.0439933215760552,1,0.00133634898897425
276,0.0458916733535205,1,0.00134878896418126
6,0.0481881147832537,1,0.00136263942091797
357,0.0514666954889468,1,0.00137147534964192
171,0.0434897732666641,1,0.00137612059109434
243,0.0442650078570614,1,0.00137660239795919
249,0.0463049312595616,1,0.0013860533599062
297,0.0516093268451205,1,0.00140503983762514
269,0.0409800666583958,1,0.00142879841681554
256,0.0400428236077995,1,0.00144314037830155
186,0.0545285888085866,1,0.00144441082750031
57,0.0432941896667709,1,0.00144874010936074
347,0.0413181942100721,1,0.0014491598001945
295,0.0510606745582762,1,0.00145242153566746
351,0.0426999768331746,1,0.00145903066536248
93,0.0637007590888274,1,0.00147918567542996
356,0.045604685359398,1,0.00148970344480914
177,0.0460068566819309,1,0.00149993376971083
139,0.0477793112583982,1,0.00150415077966009
191,0.0529470313188814,1,0.0016133885431851
270,0.0441570361357148,1,0.00161551593442024
56,0.0461807294446637,1,0.00161675177855761
216,0.0536872580605116,1,0.00163139542873289
168,0.0448147069272739,1,0.0016322830975051
92,0.05937820816657,1,0.00166771658180732
19,0.0534462632710762,1,0.00181045638538736
192,0.0536306871349367,1,0.00189896636996046
126,0.056525325185785,1,0.00199798241842365
361,0.0463553777189288,2,0.00203574503422637
183,0.0439699491668119,2,0.00208320861736126
77,0.0461552435630248,2,0.002440765846611
81,0.049328647382479,2,0.002549430594424
119,0.0519338042008665,2,0.00261827384860483
208,0.0403519811188975,2,0.00270766873576703
172,0.0460897228196229,2,0.00284728844840206
283,0.0590740423640229,2,0.00292410393069386
85,0.0573590842003566,2,0.00292465313445343
137,0.049523842870701,2,0.00295713443616214
209,0.0568472633951388,2,0.00323959805510208
274,0.0362964626751728,3,0.00115897885136048
266,0.0392691129578144,3,0.00143424340089269
31,0.0401838261085247,3,0.0015003174791506
16,0.0452993219759985,3,0.00153144445619199
214,0.0433005042008346,3,0.00153631966482619
309,0.0444342518028731,3,0.00154500541917732
336,0.0461062216031991,3,0.00156909294927997
95,0.044486941851354,3,0.00163352315850828
365,0.0386931094053608,3,0.00164712306734231
292,0.0507534975760369,3,0.0016597758158581
28,0.0362663244813906,3,0.00168419051524899
165,0.0520311628907091,3,0.00171160454750435
51,0.0493021035658794,3,0.00175722810995251
69,0.0507604761920055,3,0.00178594391724329
245,0.0584894568699846,3,0.00179932435720786
75,0.0418377161562528,3,0.00183549661697279
368,0.0428371097185743,3,0.0018578085600028
235,0.0567502474437716,3,0.00193606572699177
7,0.0505354142408447,3,0.00195444643193328
129,0.0387261961059839,3,0.00197256326237957
65,0.0535542256520668,3,0.00200121392153743
32,0.0543772402077724,3,0.00214730784799295
328,0.0543307592733222,3,0.00214856713882714
332,0.0412841521425413,3,0.00215075297478858
35,0.0521143638622782,3,0.00216294320243777
104,0.04358489918429,3,0.00224983548973348
333,0.048992089807381,3,0.00231597963754525
96,0.04369607449112,3,0.00239776354068045
34,0.0418694366312609,3,0.00241987711529456
327,0.0535996438421914,3,0.00242340579158807
18,0.0478167756625384,3,0.00283070723198323
