"embNo","orSD","orClust","orMeanPwr"
346,0.0359248224562725,9,0.000679766465061737
276,0.027430394851863,9,0.000681244842598829
268,0.035112769446968,9,0.000685734525546397
94,0.0396737156599532,9,0.000692706040505241
248,0.0300011972815275,9,0.000695648255274994
120,0.039357329758029,9,0.000702904286486134
313,0.0299504851583077,9,0.000703199234177562
373,0.0363502838039381,9,0.000705228051529874
5,0.0321026090415115,9,0.000716452102678556
324,0.0294890524079137,9,0.000719479784586524
85,0.0368582187410617,9,0.000720759740684625
358,0.0238848607796642,9,0.000727825808690991
192,0.0349798488665408,9,0.000736030159876077
46,0.0364397858647691,9,0.000739909632340174
93,0.0397400206232235,9,0.000747644496637351
134,0.0278149600173007,9,0.000751871807914618
162,0.032868600640138,9,0.000762586079645503
49,0.0338864705544847,9,0.000766186200088244
341,0.0406011958939897,9,0.00076914396477088
84,0.0349013725901142,9,0.000774645296631557
238,0.0256482781278985,9,0.000781350180013118
253,0.0275619877548022,9,0.000783429908543522
203,0.036915503588163,9,0.000789426057260918
40,0.0400763558155682,9,0.000799443634665643
230,0.03198093089062,9,0.000800340508358525
15,0.0333567086247812,9,0.00080216425670403
306,0.0304806060726091,9,0.000805778033775703
129,0.0307978245140191,9,0.000806962500686397
227,0.036289293084089,9,0.00081655796641524
175,0.0441279968241483,9,0.000827824719677727
91,0.0456119748217527,9,0.000831670619855283
38,0.038538134174656,9,0.000836995073550448
291,0.0323863236606491,9,0.000838639435685509
344,0.0348426849004854,9,0.00084419963946148
297,0.0344499038343926,9,0.000856312488395008
80,0.0358794106080811,9,0.000864318595225566
231,0.0353566442001795,9,0.000867001475549602
310,0.0311263556548389,9,0.000868724779566677
273,0.0382826761072955,9,0.000880359598340698
307,0.0239742085707993,9,0.000887842903270727
282,0.0428602179947427,9,0.000888741677361273
336,0.0460611135100672,9,0.000889981917539331
9,0.052988001142059,9,0.000896759107869766
226,0.0487506218233095,9,0.000896897925524404
219,0.0329242171426773,9,0.000897439726861907
172,0.0375020308003636,9,0.000902766028999285
119,0.0321053608813396,9,0.000909558781789676
167,0.0336859896340378,9,0.00091030352903202
141,0.0387052000605716,9,0.000915997752192323
356,0.0402678342560852,9,0.000916554289378452
127,0.0346879153667102,9,0.000917883225925813
65,0.0383899718122967,9,0.000919730548864783
18,0.0360903195529321,9,0.000921435577435874
311,0.0275258469546606,9,0.000928837138899076
154,0.0351591735338279,9,0.000953255951653311
281,0.0381550287796619,9,0.000954272428058801
62,0.0304724744936704,9,0.000998627867750607
52,0.0350368211509953,9,0.00100009160242261
239,0.03213126696817,9,0.00100317420155262
350,0.0386558741035496,9,0.0010078783413823
95,0.0297120219432046,9,0.00101278649927491
234,0.035393580174581,9,0.0010132302738093
64,0.0284944002018818,9,0.00101749996870003
196,0.0355647036136194,9,0.00101752292500205
229,0.0354895403464561,9,0.0010413272968185
6,0.0329347240044874,9,0.0010673125676267
67,0.0442333289244324,9,0.00108242265481133
71,0.0434011252388976,9,0.00109356119915136
349,0.0388018805863423,9,0.00112563107972779
338,0.0317744316501016,9,0.00112912239019745
68,0.0405426983209223,9,0.00113147997397936
211,0.032239832615974,9,0.00113405874712087
362,0.0403087228244161,9,0.00116320722195844
384,0.0412974878089205,9,0.00116734014599018
33,0.0385266858935333,9,0.00117068815191216
152,0.0420502155961931,9,0.00123777897882909
173,0.0414248319727185,9,0.00127992737718981
17,0.0372424163991142,9,0.00144412909298934
183,0.0414800443076668,9,0.00156186279035762
366,0.0329065876035691,10,0.000685230192411298
301,0.0361094913468541,10,0.000685308826462461
360,0.0375219401475193,10,0.000830930559649794
294,0.0345109445453688,10,0.000848095977864632
214,0.0390441299672481,10,0.000858259194423216
155,0.0339706396819048,10,0.000883858237994454
259,0.0369949328034323,10,0.000888231372072222
138,0.0311936696766948,10,0.000945093656259581
98,0.044877350478287,10,0.00110041074499727
13,0.0389134374909746,10,0.00111304614978784
300,0.0353209301446438,10,0.00111898738639389
334,0.0433485041336376,10,0.00115181797566787
289,0.0390639227870818,10,0.00116500745753011
101,0.0367458956394486,10,0.00120559013282197
208,0.0401822006803344,10,0.00125907232229873
193,0.0404009939873867,10,0.00133205926554278
212,0.0402827826522343,10,0.00136178364799631
244,0.0420816367438156,10,0.00136839430109467
185,0.0408863224601658,10,0.00143259775601396
288,0.0436654889273866,10,0.00147074083790314
116,0.0476370860497665,10,0.00159123453860167
29,0.0401245337325012,10,0.00178614658502814
319,0.0457150872628261,10,0.00196930760833555
25,0.0468870080040204,10,0.00200381295996732
210,0.0508472711200659,11,0.00636321223165894
328,0.0426185831044897,11,0.00646772210182606
16,0.0436195326468545,12,0.000912532647148681
187,0.0354917442550888,12,0.000917150845255441
150,0.034804292457654,12,0.000930382299750325
335,0.0356951746912102,12,0.000945047218533014
76,0.0366168762310436,12,0.000952537595408357
200,0.0348752370376804,12,0.000985628264493355
161,0.03446516388329,12,0.00101483303835384
179,0.0331903097405932,12,0.00103835134655662
35,0.0413395040869196,12,0.00103859635043083
2,0.0311173266651097,12,0.00105283400232409
136,0.0312248793765971,12,0.00106663498757769
14,0.0379856215859586,12,0.00107606033613378
97,0.0301652573199903,12,0.00109112329273757
383,0.0432645037182178,12,0.00114070255581456
3,0.0319675611656293,12,0.00115353005263872
216,0.0331809437099459,12,0.00116027493873389
205,0.0352691794196397,12,0.00118342763932821
110,0.0349012389921327,12,0.00118657931308055
275,0.0312515014269233,12,0.00118789784727289
240,0.0284702363699067,12,0.0011963459894199
86,0.0305192722324143,12,0.00121579398186936
323,0.0301613711836943,12,0.00121839371203604
118,0.0317079921334684,12,0.0012257492077089
50,0.0343104736714221,12,0.00123873304530252
103,0.035270297153923,12,0.00124835671426201
287,0.0365680705818327,12,0.00131434586864276
365,0.038621848732963,12,0.00133266444992687
337,0.0487425266272738,12,0.00133800827833337
342,0.034884882624634,12,0.0013602467805858
163,0.0369906650471876,12,0.00137096793365276
343,0.036717017855056,12,0.00139737995068521
237,0.0431736780983385,12,0.0014196362437582
57,0.0389296879833094,12,0.00142234752280208
262,0.0394510651079708,12,0.00142626243721149
375,0.0307116122362649,12,0.00144474136074074
123,0.0369797202549198,12,0.00145398044449547
382,0.0374205228010242,12,0.00146370858328206
305,0.0396951094184233,12,0.0015114232088969
354,0.0340209323733831,12,0.00151475313231735
194,0.0379576088912392,12,0.00151544757644043
42,0.0347501189145292,12,0.00156315056763451
108,0.0406169586536216,12,0.00162937358649579
72,0.03744546969479,12,0.00164848789503443
168,0.0378318644878819,12,0.00166281217388254
190,0.0347190950714413,12,0.00170520539659678
174,0.0349348475609522,12,0.00172316527339727
51,0.0350392997461936,12,0.00180584330846902
21,0.0394851061972312,12,0.00192703221496806
